season,round,gp,session,circuit,driverCode,bestLapTime_sec,avgLapTime_sec,stdLapTime_sec,maxSpeed_kmh,gridPosition,finishPosition,qualyPosition
2021,2,Emilia Romagna Grand Prix,Q,Imola,RUS,75.261,76.0802,0.920416,327.0,,12.0,12.0
2021,2,Emilia Romagna Grand Prix,Q,Imola,VET,75.394,75.61225,0.236957,321.0,,13.0,13.0
2021,2,Emilia Romagna Grand Prix,Q,Imola,LAT,75.593,76.0634,0.417629,324.0,,14.0,14.0
2021,2,Emilia Romagna Grand Prix,Q,Imola,ALO,75.593,75.8525,0.189096,327.0,,15.0,15.0
2021,2,Emilia Romagna Grand Prix,Q,Imola,RAI,75.974,76.112666,0.120292,328.0,,16.0,16.0
2021,2,Emilia Romagna Grand Prix,Q,Imola,GIO,76.122,76.6225,0.707813,324.0,,17.0,17.0
2021,2,Emilia Romagna Grand Prix,Q,Imola,MSC,76.279,76.484,0.234212,324.0,,18.0,18.0
2021,2,Emilia Romagna Grand Prix,Q,Imola,MAZ,76.797,77.192666,0.538566,324.0,,19.0,19.0
2021,3,Portuguese Grand Prix,R,Portimão,GAS,82.014,83.135821,0.669733,326.0,9.0,10.0,
2021,3,Portuguese Grand Prix,R,Portimão,PER,80.643,82.564333,0.716913,299.0,4.0,4.0,
2021,3,Portuguese Grand Prix,R,Portimão,ALO,81.032,82.889482,0.956315,325.0,13.0,8.0,
2021,3,Portuguese Grand Prix,R,Portimão,LEC,81.496,82.850473,0.821853,294.0,8.0,6.0,
2021,3,Portuguese Grand Prix,R,Portimão,STR,81.97,83.330425,0.719846,320.0,17.0,14.0,
2021,3,Portuguese Grand Prix,R,Portimão,TSU,82.058,83.42966,0.766844,295.0,14.0,15.0,
2021,3,Portuguese Grand Prix,R,Portimão,RIC,81.987,83.093267,0.654617,323.0,16.0,9.0,
2021,3,Portuguese Grand Prix,R,Portimão,OCO,81.886,82.956228,0.772456,336.0,6.0,7.0,
2021,3,Portuguese Grand Prix,R,Portimão,VER,79.849,82.17835,0.988499,299.0,3.0,2.0,
2021,3,Portuguese Grand Prix,R,Portimão,NOR,81.696,82.775571,0.700198,293.0,7.0,5.0,
2021,3,Portuguese Grand Prix,R,Portimão,HAM,80.933,82.046155,0.774855,317.0,2.0,1.0,
2021,3,Portuguese Grand Prix,R,Portimão,MSC,82.755,84.37117,0.620552,321.0,19.0,17.0,
2021,3,Portuguese Grand Prix,R,Portimão,VET,82.416,83.411,0.570151,298.0,10.0,13.0,
2021,3,Portuguese Grand Prix,R,Portimão,SAI,82.325,83.296771,0.599001,298.0,5.0,11.0,
2021,3,Portuguese Grand Prix,R,Portimão,LAT,83.155,84.513232,0.52132,306.0,18.0,18.0,
2021,3,Portuguese Grand Prix,R,Portimão,RUS,82.654,84.08634,0.720195,303.0,11.0,16.0,
2021,3,Portuguese Grand Prix,R,Portimão,BOT,79.865,82.262896,1.0255589999999999,297.0,1.0,3.0,
2021,3,Portuguese Grand Prix,R,Portimão,MAZ,83.641,84.552088,0.554556,299.0,20.0,19.0,
2021,3,Portuguese Grand Prix,R,Portimão,GIO,82.167,83.245327,0.656325,298.0,12.0,12.0,
2021,3,Portuguese Grand Prix,Q,Portimão,BOT,78.348,79.46025,1.580794,314.0,,1.0,1.0
2021,3,Portuguese Grand Prix,Q,Portimão,HAM,77.968,78.870857,0.699476,319.0,,2.0,2.0
2021,3,Portuguese Grand Prix,Q,Portimão,VER,78.209,79.321142,1.093591,319.0,,3.0,3.0
2021,3,Portuguese Grand Prix,Q,Portimão,PER,78.845,79.252833,0.559046,316.0,,4.0,4.0
2021,3,Portuguese Grand Prix,Q,Portimão,SAI,78.813,79.205714,0.261188,314.0,,5.0,5.0
2021,3,Portuguese Grand Prix,Q,Portimão,OCO,78.586,79.360166,0.563022,322.0,,6.0,6.0
2021,3,Portuguese Grand Prix,Q,Portimão,NOR,78.481,79.2386,0.645132,316.0,,7.0,7.0
2021,3,Portuguese Grand Prix,Q,Portimão,LEC,78.769,79.333777,0.311426,317.0,,8.0,8.0
2021,3,Portuguese Grand Prix,Q,Portimão,GAS,79.052,79.538571,0.451708,317.0,,9.0,9.0
2021,3,Portuguese Grand Prix,Q,Portimão,VET,78.97,79.65425,0.454046,317.0,,10.0,10.0
2021,3,Portuguese Grand Prix,Q,Portimão,RUS,79.109,79.931,0.674892,326.0,,11.0,11.0
2021,3,Portuguese Grand Prix,Q,Portimão,GIO,79.216,79.703714,0.418203,319.0,,12.0,12.0
2021,3,Portuguese Grand Prix,Q,Portimão,ALO,79.456,79.550666,0.153692,319.0,,13.0,13.0
2021,3,Portuguese Grand Prix,Q,Portimão,TSU,79.463,79.748,0.389158,319.0,,14.0,14.0
2021,3,Portuguese Grand Prix,Q,Portimão,RAI,79.748,80.011,0.347715,321.0,,15.0,15.0
2021,3,Portuguese Grand Prix,Q,Portimão,RIC,79.839,80.019,0.196723,317.0,,16.0,16.0
2021,3,Portuguese Grand Prix,Q,Portimão,STR,79.913,80.79725,1.326087,315.0,,17.0,17.0
2021,3,Portuguese Grand Prix,Q,Portimão,LAT,80.285,80.726333,0.382958,321.0,,18.0,18.0
2021,3,Portuguese Grand Prix,Q,Portimão,MSC,80.452,80.644666,0.195041,317.0,,19.0,19.0
2021,3,Portuguese Grand Prix,Q,Portimão,MAZ,80.912,81.873,0.898255,316.0,,20.0,20.0
2021,4,Spanish Grand Prix,R,Barcelona,GAS,81.375,82.447125,0.797141,305.0,12.0,10.0,
2021,4,Spanish Grand Prix,R,Barcelona,PER,79.483,82.440138,0.852753,306.0,8.0,5.0,
2021,4,Spanish Grand Prix,R,Barcelona,ALO,81.182,81.996333,1.263608,309.0,10.0,17.0,
2021,4,Spanish Grand Prix,R,Barcelona,LEC,80.459,82.43609,0.663435,309.0,4.0,4.0,
2021,4,Spanish Grand Prix,R,Barcelona,STR,82.607,83.059642,0.281494,338.0,11.0,11.0,
2021,4,Spanish Grand Prix,R,Barcelona,RIC,81.853,82.737885,0.511272,315.0,7.0,6.0,
2021,4,Spanish Grand Prix,R,Barcelona,OCO,83.311,83.4665,0.101462,305.0,5.0,9.0,
2021,4,Spanish Grand Prix,R,Barcelona,VER,78.149,82.350421,1.031963,308.0,2.0,2.0,
2021,4,Spanish Grand Prix,R,Barcelona,NOR,81.279,82.905772,0.668936,329.0,9.0,8.0,
2021,4,Spanish Grand Prix,R,Barcelona,HAM,80.665,82.099163,0.990985,327.0,1.0,1.0,
2021,4,Spanish Grand Prix,R,Barcelona,MSC,82.637,83.050555,0.417285,308.0,18.0,18.0,
2021,4,Spanish Grand Prix,R,Barcelona,VET,82.82,83.270833,0.221588,309.0,13.0,13.0,
2021,4,Spanish Grand Prix,R,Barcelona,SAI,81.568,82.547437,0.543631,327.0,6.0,7.0,
2021,4,Spanish Grand Prix,R,Barcelona,LAT,82.905,83.125,0.203507,304.0,19.0,16.0,
2021,4,Spanish Grand Prix,R,Barcelona,RUS,83.208,83.411,0.287085,305.0,15.0,14.0,
2021,4,Spanish Grand Prix,R,Barcelona,RAI,82.868,83.22921,0.245304,311.0,17.0,12.0,
2021,4,Spanish Grand Prix,R,Barcelona,BOT,79.43,81.903972,0.817214,328.0,3.0,3.0,
2021,4,Spanish Grand Prix,R,Barcelona,GIO,82.802,83.25055,0.208298,313.0,14.0,15.0,
2021,4,Spanish Grand Prix,Q,Barcelona,HAM,76.741,77.888,1.385595,316.0,,1.0,1.0
2021,4,Spanish Grand Prix,Q,Barcelona,VER,76.777,77.18175,0.609815,316.0,,2.0,2.0
2021,4,Spanish Grand Prix,Q,Barcelona,BOT,76.873,77.3108,0.430491,316.0,,3.0,3.0
2021,4,Spanish Grand Prix,Q,Barcelona,LEC,77.51,77.886,0.320299,318.0,,4.0,4.0
2021,4,Spanish Grand Prix,Q,Barcelona,OCO,77.58,77.9026,0.270684,320.0,,5.0,5.0
2021,4,Spanish Grand Prix,Q,Barcelona,SAI,77.62,77.8272,0.232236,315.0,,6.0,6.0
2021,4,Spanish Grand Prix,Q,Barcelona,RIC,77.622,77.9105,0.294883,318.0,,7.0,7.0
2021,4,Spanish Grand Prix,Q,Barcelona,PER,77.669,78.0502,0.388333,318.0,,8.0,8.0
2021,4,Spanish Grand Prix,Q,Barcelona,NOR,77.696,78.077,0.432218,318.0,,9.0,9.0
2021,4,Spanish Grand Prix,Q,Barcelona,ALO,77.966,78.296,0.251953,318.0,,10.0,10.0
2021,4,Spanish Grand Prix,Q,Barcelona,STR,77.974,78.43975,0.470196,319.0,,11.0,11.0
2021,4,Spanish Grand Prix,Q,Barcelona,GAS,77.982,78.067666,0.108739,313.0,,12.0,12.0
2021,4,Spanish Grand Prix,Q,Barcelona,VET,78.079,78.33975,0.382222,323.0,,13.0,13.0
2021,4,Spanish Grand Prix,Q,Barcelona,GIO,78.356,78.87675,0.542616,327.0,,14.0,14.0
2021,4,Spanish Grand Prix,Q,Barcelona,RUS,78.445,78.744666,0.367001,318.0,,15.0,15.0
2021,4,Spanish Grand Prix,Q,Barcelona,TSU,78.556,78.602,0.065053,312.0,,16.0,16.0
2021,4,Spanish Grand Prix,Q,Barcelona,RAI,78.917,78.995,0.110308,329.0,,17.0,17.0
2021,4,Spanish Grand Prix,Q,Barcelona,MSC,79.117,79.610333,0.621962,324.0,,18.0,18.0
2021,4,Spanish Grand Prix,Q,Barcelona,LAT,79.219,79.630333,0.539371,321.0,,19.0,19.0
2021,4,Spanish Grand Prix,Q,Barcelona,MAZ,79.807,80.508333,0.67698,326.0,,20.0,20.0
2021,5,Monaco Grand Prix,R,Monte Carlo,VER,74.649,75.75808,0.744847,272.0,2.0,1.0,
2021,5,Monaco Grand Prix,R,Monte Carlo,SAI,74.621,75.79881,0.760215,283.0,4.0,2.0,
2021,5,Monaco Grand Prix,R,Monte Carlo,NOR,74.67,75.934986,0.753177,282.0,5.0,3.0,
2021,5,Monaco Grand Prix,R,Monte Carlo,PER,74.552,75.665294,0.671665,285.0,9.0,4.0,
2021,5,Monaco Grand Prix,R,Monte Carlo,VET,75.316,76.269263,0.634698,284.0,8.0,5.0,
2021,5,Monaco Grand Prix,R,Monte Carlo,GAS,75.412,76.288208,0.546256,283.0,6.0,6.0,
2021,5,Monaco Grand Prix,R,Monte Carlo,HAM,72.909,76.231507,0.887446,280.0,7.0,7.0,
2021,5,Monaco Grand Prix,R,Monte Carlo,STR,74.674,76.333639,0.694677,282.0,13.0,8.0,
2021,5,Monaco Grand Prix,R,Monte Carlo,OCO,75.316,76.784847,0.597333,281.0,11.0,9.0,
2021,5,Monaco Grand Prix,R,Monte Carlo,GIO,75.331,76.797423,0.602981,287.0,10.0,10.0,
2021,5,Monaco Grand Prix,R,Monte Carlo,RAI,74.971,76.697525,0.788945,284.0,14.0,11.0,
2021,5,Monaco Grand Prix,R,Monte Carlo,RIC,74.578,76.711516,0.956138,289.0,12.0,12.0,
2021,5,Monaco Grand Prix,R,Monte Carlo,ALO,75.026,76.746916,0.880619,281.0,17.0,13.0,
2021,5,Monaco Grand Prix,R,Monte Carlo,RUS,75.539,76.332024,0.559703,284.0,15.0,14.0,
2021,5,Monaco Grand Prix,R,Monte Carlo,LAT,75.573,76.49179,0.690185,283.0,18.0,15.0,
2021,5,Monaco Grand Prix,R,Monte Carlo,TSU,74.037,76.627666,0.884298,288.0,16.0,16.0,
2021,5,Monaco Grand Prix,R,Monte Carlo,MAZ,76.866,77.290321,0.340301,286.0,19.0,17.0,
2021,5,Monaco Grand Prix,R,Monte Carlo,MSC,76.425,77.225272,0.470392,285.0,20.0,18.0,
2021,5,Monaco Grand Prix,R,Monte Carlo,BOT,75.706,76.570785,0.500919,282.0,3.0,19.0,
2021,5,Monaco Grand Prix,Q,Monte Carlo,LEC,70.346,71.459125,1.429105,287.0,,1.0,1.0
2021,5,Monaco Grand Prix,Q,Monte Carlo,VER,70.576,71.69,1.376093,287.0,,2.0,2.0
2021,5,Monaco Grand Prix,Q,Monte Carlo,BOT,70.601,70.98,0.388545,288.0,,3.0,3.0
2021,5,Monaco Grand Prix,Q,Monte Carlo,SAI,70.611,71.275833,0.672902,288.0,,4.0,4.0
2021,5,Monaco Grand Prix,Q,Monte Carlo,NOR,70.62,71.930666,1.341272,286.0,,5.0,5.0
2021,5,Monaco Grand Prix,Q,Monte Carlo,GAS,70.9,71.701222,0.600099,286.0,,6.0,6.0
2021,5,Monaco Grand Prix,Q,Monte Carlo,HAM,71.095,71.456833,0.393752,289.0,,7.0,7.0
2021,5,Monaco Grand Prix,Q,Monte Carlo,VET,71.309,71.882222,0.411214,287.0,,8.0,8.0
2021,5,Monaco Grand Prix,Q,Monte Carlo,PER,71.019,72.1367,1.309522,287.0,,9.0,9.0
2021,5,Monaco Grand Prix,Q,Monte Carlo,GIO,71.409,72.068,0.561358,290.0,,10.0,10.0
2021,5,Monaco Grand Prix,Q,Monte Carlo,OCO,71.486,72.22825,0.642558,289.0,,11.0,11.0
2021,5,Monaco Grand Prix,Q,Monte Carlo,RIC,71.598,72.15,0.712039,290.0,,12.0,12.0
2021,5,Monaco Grand Prix,Q,Monte Carlo,STR,71.6,72.251333,0.748787,289.0,,13.0,13.0
2021,5,Monaco Grand Prix,Q,Monte Carlo,RAI,71.642,72.396,0.761955,289.0,,14.0,14.0
2021,5,Monaco Grand Prix,Q,Monte Carlo,RUS,71.83,72.65825,0.823982,290.0,,15.0,15.0
2021,5,Monaco Grand Prix,Q,Monte Carlo,TSU,72.096,73.1878,1.017528,289.0,,16.0,16.0
2021,5,Monaco Grand Prix,Q,Monte Carlo,ALO,72.205,72.9455,0.881617,289.0,,17.0,17.0
2021,5,Monaco Grand Prix,Q,Monte Carlo,LAT,72.366,73.0264,0.714658,291.0,,18.0,18.0
2021,5,Monaco Grand Prix,Q,Monte Carlo,MAZ,72.958,73.683666,0.92703,287.0,,19.0,19.0
2021,6,Azerbaijan Grand Prix,R,Baku,GAS,105.22,106.975769,1.206691,316.0,4.0,3.0,
2021,6,Azerbaijan Grand Prix,R,Baku,PER,104.687,106.359175,1.303824,317.0,6.0,1.0,
2021,6,Azerbaijan Grand Prix,R,Baku,ALO,105.624,107.778837,1.0903,325.0,8.0,6.0,
2021,6,Azerbaijan Grand Prix,R,Baku,LEC,105.382,107.033184,1.072652,319.0,1.0,4.0,
2021,6,Azerbaijan Grand Prix,R,Baku,STR,106.207,107.536035,1.2193,318.0,19.0,19.0,
2021,6,Azerbaijan Grand Prix,R,Baku,TSU,104.939,107.093948,1.304996,323.0,7.0,7.0,
2021,6,Azerbaijan Grand Prix,R,Baku,RIC,105.713,107.353894,1.204731,323.0,13.0,9.0,
2021,6,Azerbaijan Grand Prix,R,Baku,OCO,110.85,110.85,,323.0,12.0,20.0,
2021,6,Azerbaijan Grand Prix,R,Baku,VER,104.481,106.231736,1.31674,316.0,3.0,18.0,
2021,6,Azerbaijan Grand Prix,R,Baku,NOR,105.326,107.11221,1.189872,336.0,9.0,5.0,
2021,6,Azerbaijan Grand Prix,R,Baku,HAM,104.769,106.59465,1.557896,324.0,2.0,15.0,
2021,6,Azerbaijan Grand Prix,R,Baku,MSC,107.624,108.577117,0.797652,322.0,17.0,13.0,
2021,6,Azerbaijan Grand Prix,R,Baku,VET,104.89,107.017625,1.5441340000000001,323.0,11.0,2.0,
2021,6,Azerbaijan Grand Prix,R,Baku,SAI,105.7,107.318131,1.228053,325.0,5.0,8.0,
2021,6,Azerbaijan Grand Prix,R,Baku,LAT,106.608,108.259222,1.058462,325.0,16.0,16.0,
2021,6,Azerbaijan Grand Prix,R,Baku,RUS,105.959,108.092783,1.216346,326.0,15.0,17.0,
2021,6,Azerbaijan Grand Prix,R,Baku,RAI,105.601,107.761361,1.331029,342.32499946666667,14.0,10.0,
2021,6,Azerbaijan Grand Prix,R,Baku,BOT,105.665,107.367526,1.16738,324.0,10.0,12.0,
