season,round,gp,session,circuit,driverCode,bestLapTime_sec,avgLapTime_sec,stdLapTime_sec,maxSpeed_kmh,gridPosition,finishPosition,qualyPosition,startPosition,qualyPosition_fromQ,raceGain
2021,5,Monaco Grand Prix,R,Monte Carlo,MAZ,76.78662,77.27861218000001,0.36371738000000003,286.0,19.0,17.0,,19.0,19.0,2.0
2021,5,Monaco Grand Prix,R,Monte Carlo,MSC,76.425,77.225272,0.470392,285.0,20.0,18.0,,20.0,,2.0
2021,5,Monaco Grand Prix,R,Monte Carlo,NOR,74.67,75.934986,0.753177,282.0,5.0,3.0,,5.0,5.0,2.0
2021,5,Monaco Grand Prix,R,Monte Carlo,OCO,75.316,76.784847,0.597333,281.0,11.0,9.0,,11.0,11.0,2.0
2021,5,Monaco Grand Prix,R,Monte Carlo,PER,74.552,75.68199548,0.671665,285.0,9.0,4.0,,9.0,9.0,5.0
2021,5,Monaco Grand Prix,R,Monte Carlo,RAI,74.971,76.697525,0.788945,284.0,14.0,11.0,,14.0,14.0,3.0
2021,5,Monaco Grand Prix,R,Monte Carlo,RIC,74.578,76.711516,0.9437734400000001,288.82,12.0,12.0,,12.0,12.0,0.0
2021,5,Monaco Grand Prix,R,Monte Carlo,RUS,75.539,76.332024,0.559703,284.0,15.0,14.0,,15.0,15.0,1.0
2021,5,Monaco Grand Prix,R,Monte Carlo,SAI,74.621,75.79881,0.760215,283.0,4.0,2.0,,4.0,4.0,2.0
2021,5,Monaco Grand Prix,R,Monte Carlo,STR,74.674,76.333639,0.694677,282.0,13.0,8.0,,13.0,13.0,5.0
2021,5,Monaco Grand Prix,R,Monte Carlo,TSU,74.037,76.627666,0.884298,288.0,16.0,16.0,,16.0,16.0,0.0
2021,5,Monaco Grand Prix,R,Monte Carlo,VER,74.649,75.75808,0.744847,273.44,2.0,1.0,,2.0,2.0,1.0
2021,5,Monaco Grand Prix,R,Monte Carlo,VET,75.316,76.269263,0.634698,284.0,8.0,5.0,,8.0,8.0,3.0
2021,6,Azerbaijan Grand Prix,R,Baku,ALO,105.624,107.778837,1.0903,325.0,8.0,6.0,,8.0,9.0,2.0
2021,6,Azerbaijan Grand Prix,R,Baku,BOT,105.665,107.367526,1.16738,324.0,10.0,12.0,,10.0,10.0,-2.0
2021,6,Azerbaijan Grand Prix,R,Baku,GAS,105.22,106.975769,1.206691,316.0,4.0,3.0,,4.0,4.0,1.0
